PS Name,PS Name_enc
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Elamakkara,4.2
Harbour,2.272727272727273
Kalamassery,7.153846153846154
Ambalamedu,1.625
Cheranelloor ,4.75
Eloor ,2.2
Ernakulam Central ,7.642857142857143
Ernakulam Town South ,3.1818181818181817
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Mulavukadu ,2.5
Thrikkakara,5.923076923076923
Ernakulam Central ,7.642857142857143
Fort Kochi  ,2.875
Harbour,2.272727272727273
Palarivattom ,6.25
Thrikkakara,5.923076923076923
Ambalamedu,1.625
Cheranelloor ,4.75
Elamakkara,4.2
Eloor ,2.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Kannamali ,3.1666666666666665
Maradu,5.5
Mattancherry ,3.0
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Ambalamedu,1.625
Cheranelloor ,4.75
Elamakkara,4.2
Eloor ,2.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Infopark,4.2
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Kannamali ,3.1666666666666665
Maradu,5.5
Mattancherry ,3.0
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Cheranelloor ,4.75
Elamakkara,4.2
Ernakulam Central ,7.642857142857143
Ernakulam Town South ,3.1818181818181817
Hill Palace (Thrippunnithura),8.909090909090908
Kalamassery,7.153846153846154
Maradu,5.5
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Ambalamedu,1.625
Cheranelloor ,4.75
Elamakkara,4.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Ambalamedu,1.625
Cheranelloor ,4.75
Elamakkara,4.2
