District,Spot Accident,PS Name,Accident_Count,Cluster,Label
0.06229196386115074,0.0943889681407513,0.002615311459819306,10,2,Hotspot
0.06229196386115074,0.0943889681407513,0.002615311459819306,9,2,Hotspot
0.06229196386115074,0.0943889681407513,0.0023775558725630053,2,1,Low incident area
0.06229196386115074,0.0943889681407513,0.002615311459819306,2,1,Low incident area
0.06229196386115074,0.0943889681407513,0.003090822634331907,8,2,Hotspot
0.06229196386115074,0.0943889681407513,0.003090822634331907,1,1,Low incident area
0.06229196386115074,0.0943889681407513,0.0021398002853067048,11,2,Hotspot
0.06229196386115074,0.0943889681407513,0.0021398002853067048,1,1,Low incident area
0.06229196386115074,0.0943889681407513,0.002615311459819306,2,1,Low incident area
0.06229196386115074,0.0943889681407513,0.002615311459819306,5,1,Low incident area
0.06229196386115074,0.0943889681407513,0.0016642891107941037,3,1,Low incident area
